name_norm,cluster
"Santos Reis",C3
"Praia do Meio",C4
Rocas,C4
Ribeira,C4
Petropolis,C4
"Areia Preta",C4
"Mae Luiza",C3
Tirol,C4
"Cidade Alta",C4
"Lagoa Seca",C4
Alecrim,C4
Quintas,C3
Nordeste,C3
"Bom Pastor",C3
"Cidade da Esperanca",C3
"Dix-Sept Rosado",C3
"Lagoa Nova",C4
"Nova Descoberta",C4
Candelaria,C4
"Cidade Nova",C3
"Filipe Camarao",C1
Guarapes,C1
Pitimbu,C3
Neopolis,C4
"Capim Macio",C4
"Ponta Negra",C3
Igapo,C2
"Nossa Senhora da Apresentacao",C2
Potengi,C2
Salinas,C3
"Lagoa Azul",C2
Pajucara,C2
Redinha,C3
"Barro Vermelho",C4
"Nossa Senhora de Nazare",C3
Planalto,C1
